               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048043,            0.013352,                   0,           0.0028369,             0.85106,            0.059579,            0.028367,            0.041404,            0.018588,                   0,            0.067371,          0.00032959,          0.00032959
                   1,            0.041799,            0.011873,                   0,           0.0033333,                   1,            0.018302,           0.0059301,            0.052996,            0.014937,                   0,             0.03437,          0.00066232,          0.00066232
                   2,            0.045218,            0.011335,                   0,           0.0031206,             0.93617,             0.02801,            0.012263,            0.047373,             0.01585,                   0,            0.001369,          0.00099446,          0.00099446
                   3,            0.038433,            0.012367,                   0,           0.0033333,                   1,            0.030635,           0.0062455,            0.039333,            0.017976,                   0,           0.0009973,           0.0009973,           0.0009973
                   4,            0.040395,            0.012127,                   0,           0.0033383,                   1,           0.0081491,           0.0020381,            0.041547,            0.017778,                   0,           0.0009973,           0.0009973,           0.0009973
                   5,            0.039256,            0.011981,                   0,           0.0032624,             0.97872,           0.0083116,           0.0020431,            0.040596,            0.017782,                   0,           0.0009964,           0.0009964,           0.0009964
                   6,            0.036538,            0.012409,                   0,           0.0033333,                   1,            0.017764,           0.0063968,            0.036452,            0.020967,                   0,           0.0009955,           0.0009955,           0.0009955
                   7,            0.033714,            0.012462,                   0,           0.0032624,             0.97872,            0.013629,           0.0044007,            0.035937,             0.01964,                   0,           0.0009946,           0.0009946,           0.0009946
                   8,            0.033048,            0.012047,                   0,           0.0033438,                   1,            0.022719,           0.0088562,            0.036539,            0.018396,                   0,           0.0009937,           0.0009937,           0.0009937
                   9,            0.033761,            0.011627,                   0,             0.00345,                   1,            0.056421,            0.025727,              0.0326,            0.019658,                   0,           0.0009928,           0.0009928,           0.0009928
                  10,            0.032705,            0.011366,                   0,           0.0038051,                   1,             0.17923,            0.091375,            0.035057,            0.016901,                   0,           0.0009919,           0.0009919,           0.0009919
                  11,            0.032215,            0.011095,                   0,            0.003711,                   1,             0.18532,            0.082504,            0.032041,            0.017967,                   0,            0.000991,            0.000991,            0.000991
                  12,            0.031043,            0.010641,                   0,           0.0033531,                   1,             0.18689,            0.095623,            0.033163,            0.019707,                   0,           0.0009901,           0.0009901,           0.0009901
                  13,             0.03061,            0.010143,                   0,           0.0044219,                   1,             0.10424,            0.046629,            0.030452,            0.016328,                   0,           0.0009892,           0.0009892,           0.0009892
                  14,            0.030594,            0.009363,                   0,             0.31763,             0.17021,             0.17676,            0.065704,            0.030146,            0.014583,                   0,           0.0009883,           0.0009883,           0.0009883
                  15,            0.030752,           0.0086857,                   0,             0.38604,             0.25532,             0.33717,             0.14582,            0.031492,            0.013059,                   0,           0.0009874,           0.0009874,           0.0009874
                  16,            0.030233,           0.0077329,                   0,             0.65061,             0.44681,              0.5973,             0.34895,            0.030589,            0.012501,                   0,           0.0009865,           0.0009865,           0.0009865
                  17,            0.029708,           0.0069414,                   0,             0.72588,             0.59574,             0.72341,             0.45868,            0.030445,            0.010717,                   0,           0.0009856,           0.0009856,           0.0009856
                  18,            0.030333,           0.0062852,                   0,             0.45703,             0.61702,             0.64388,             0.41762,            0.030223,           0.0096867,                   0,           0.0009847,           0.0009847,           0.0009847
                  19,            0.030437,           0.0058378,                   0,             0.90125,             0.91489,             0.93133,             0.63835,            0.030034,           0.0083828,                   0,           0.0009838,           0.0009838,           0.0009838
                  20,            0.030913,           0.0053045,                   0,             0.61166,              0.7234,             0.77458,             0.46236,              0.0305,           0.0080045,                   0,           0.0009829,           0.0009829,           0.0009829
                  21,             0.02945,           0.0054125,                   0,             0.72878,             0.93617,              0.8913,             0.57889,            0.028747,           0.0072861,                   0,            0.000982,            0.000982,            0.000982
                  22,            0.028473,           0.0046765,                   0,             0.46963,             0.80851,             0.71528,             0.43267,            0.028537,            0.007312,                   0,           0.0009811,           0.0009811,           0.0009811
                  23,            0.028969,           0.0048829,                   0,             0.70875,             0.80851,             0.84373,             0.50447,            0.027996,           0.0078478,                   0,           0.0009802,           0.0009802,           0.0009802
                  24,             0.02748,           0.0047171,                   0,              0.9068,             0.82812,             0.95943,             0.68211,            0.028371,           0.0068151,                   0,           0.0009793,           0.0009793,           0.0009793
                  25,            0.027423,           0.0045143,                   0,             0.80509,             0.87234,              0.8985,             0.63008,            0.027441,           0.0067959,                   0,           0.0009784,           0.0009784,           0.0009784
                  26,            0.026501,           0.0040048,                   0,             0.79942,             0.89362,             0.92929,             0.63916,            0.027717,           0.0064462,                   0,           0.0009775,           0.0009775,           0.0009775
                  27,            0.026289,           0.0037994,                   0,             0.88837,             0.84667,             0.92156,             0.63631,            0.028045,           0.0063372,                   0,           0.0009766,           0.0009766,           0.0009766
                  28,            0.026197,           0.0036401,                   0,             0.91251,             0.88776,             0.96147,             0.69396,            0.026864,           0.0059705,                   0,           0.0009757,           0.0009757,           0.0009757
                  29,            0.026046,            0.003794,                   0,             0.86891,             0.95745,             0.95757,             0.61919,            0.027075,           0.0063824,                   0,           0.0009748,           0.0009748,           0.0009748
                  30,            0.025009,            0.003977,                   0,             0.94086,             0.93617,             0.96444,             0.64189,            0.026284,           0.0060193,                   0,           0.0009739,           0.0009739,           0.0009739
                  31,            0.024384,           0.0035815,                   0,             0.95568,             0.91761,             0.97331,             0.65339,            0.026744,           0.0059757,                   0,            0.000973,            0.000973,            0.000973
                  32,            0.025754,           0.0036732,                   0,             0.95536,             0.91069,             0.96329,             0.66882,             0.02632,           0.0060158,                   0,           0.0009721,           0.0009721,           0.0009721
                  33,            0.025835,           0.0034637,                   0,              0.9194,             0.95745,             0.99115,              0.7335,            0.026116,           0.0056975,                   0,           0.0009712,           0.0009712,           0.0009712
                  34,            0.024212,           0.0032069,                   0,             0.96791,                   1,             0.99292,             0.77364,            0.024489,           0.0054192,                   0,           0.0009703,           0.0009703,           0.0009703
                  35,            0.023152,           0.0031211,                   0,             0.93113,             0.89362,             0.95809,             0.67831,            0.024631,           0.0061993,                   0,           0.0009694,           0.0009694,           0.0009694
                  36,             0.02345,           0.0038106,                   0,              0.9353,                   1,             0.98347,             0.74213,            0.024388,           0.0055373,                   0,           0.0009685,           0.0009685,           0.0009685
                  37,            0.022809,           0.0039316,                   0,               0.897,             0.92656,             0.95467,             0.66447,            0.023495,           0.0057071,                   0,           0.0009676,           0.0009676,           0.0009676
                  38,            0.021359,           0.0034234,                   0,             0.88297,             0.96325,             0.96133,             0.72445,            0.021874,           0.0055718,                   0,           0.0009667,           0.0009667,           0.0009667
                  39,            0.019725,           0.0033662,                   0,             0.97289,             0.93617,             0.97237,             0.75392,            0.021554,           0.0060938,                   0,           0.0009658,           0.0009658,           0.0009658
                  40,            0.018224,           0.0033325,                   0,             0.96353,             0.91489,             0.98045,             0.75471,            0.020971,           0.0055872,                   0,           0.0009649,           0.0009649,           0.0009649
                  41,            0.019131,           0.0031241,                   0,             0.97257,                   1,             0.99333,             0.72024,            0.021328,           0.0052191,                   0,            0.000964,            0.000964,            0.000964
                  42,            0.018665,           0.0030353,                   0,             0.99283,                   1,               0.995,             0.72891,             0.01945,           0.0048749,                   0,           0.0009631,           0.0009631,           0.0009631
                  43,            0.018199,           0.0030865,                   0,             0.99095,                   1,               0.995,             0.78916,            0.018955,           0.0048803,                   0,           0.0009622,           0.0009622,           0.0009622
                  44,            0.016793,           0.0030968,                   0,             0.99524,             0.97872,             0.99418,             0.76017,            0.020495,            0.005362,                   0,           0.0009613,           0.0009613,           0.0009613
                  45,            0.019959,           0.0032622,                   0,             0.99329,                   1,               0.995,             0.76472,            0.018117,           0.0050957,                   0,           0.0009604,           0.0009604,           0.0009604
                  46,            0.020944,           0.0031642,                   0,             0.95841,                   1,             0.99418,             0.77181,            0.019416,           0.0056053,                   0,           0.0009595,           0.0009595,           0.0009595
                  47,             0.01894,           0.0030916,                   0,                   1,             0.99869,               0.995,             0.74989,             0.02011,           0.0049888,                   0,           0.0009586,           0.0009586,           0.0009586
                  48,            0.017868,           0.0031121,                   0,             0.99273,                   1,               0.995,             0.79992,            0.017914,           0.0051236,                   0,           0.0009577,           0.0009577,           0.0009577
                  49,            0.016768,           0.0030152,                   0,             0.97749,             0.93617,             0.99255,             0.77194,            0.018435,           0.0054055,                   0,           0.0009568,           0.0009568,           0.0009568
                  50,            0.017797,            0.003117,                   0,             0.99732,                   1,               0.995,             0.78115,            0.018994,           0.0054997,                   0,           0.0009559,           0.0009559,           0.0009559
                  51,            0.017118,           0.0029528,                   0,             0.99555,                   1,               0.995,             0.80753,            0.017796,           0.0046474,                   0,            0.000955,            0.000955,            0.000955
                  52,            0.016035,           0.0026749,                   0,                   1,             0.99866,               0.995,             0.78884,            0.016743,           0.0044766,                   0,           0.0009541,           0.0009541,           0.0009541
                  53,            0.014935,           0.0024943,                   0,             0.99556,                   1,               0.995,             0.78614,            0.016947,           0.0044788,                   0,           0.0009532,           0.0009532,           0.0009532
                  54,            0.013588,           0.0025712,                   0,             0.99402,                   1,               0.995,             0.82485,            0.016534,            0.004588,                   0,           0.0009523,           0.0009523,           0.0009523
                  55,            0.014831,           0.0026032,                   0,             0.99162,                   1,               0.995,             0.79182,            0.016091,           0.0045639,                   0,           0.0009514,           0.0009514,           0.0009514
                  56,            0.013946,           0.0025674,                   0,             0.99691,                   1,               0.995,             0.79733,            0.015593,           0.0042996,                   0,           0.0009505,           0.0009505,           0.0009505
                  57,            0.013181,           0.0024308,                   0,             0.99699,                   1,               0.995,             0.80214,            0.015419,           0.0042897,                   0,           0.0009496,           0.0009496,           0.0009496
                  58,            0.012392,           0.0023416,                   0,             0.99792,                   1,               0.995,             0.81031,            0.014316,           0.0043434,                   0,           0.0009487,           0.0009487,           0.0009487
                  59,            0.014564,           0.0024704,                   0,             0.99753,                   1,               0.995,             0.83275,            0.015112,           0.0044146,                   0,           0.0009478,           0.0009478,           0.0009478
                  60,            0.014608,            0.002851,                   0,             0.99755,                   1,               0.995,             0.79555,             0.01583,           0.0050086,                   0,           0.0009469,           0.0009469,           0.0009469
                  61,              0.0132,           0.0024458,                   0,             0.99678,                   1,               0.995,             0.83312,            0.014753,           0.0045692,                   0,            0.000946,            0.000946,            0.000946
                  62,            0.011872,           0.0023077,                   0,             0.99709,                   1,               0.995,             0.82191,            0.014318,           0.0043572,                   0,           0.0009451,           0.0009451,           0.0009451
                  63,             0.01149,           0.0021842,                   0,             0.99574,                   1,               0.995,             0.80123,            0.014564,           0.0045595,                   0,           0.0009442,           0.0009442,           0.0009442
                  64,            0.012319,           0.0022489,                   0,              0.9966,                   1,               0.995,             0.84498,            0.013568,           0.0043198,                   0,           0.0009433,           0.0009433,           0.0009433
                  65,            0.012498,           0.0021376,                   0,              0.9941,                   1,               0.995,             0.82449,            0.014992,           0.0041711,                   0,           0.0009424,           0.0009424,           0.0009424
                  66,            0.010588,            0.001937,                   0,             0.99838,                   1,               0.995,             0.86146,            0.012724,           0.0041011,                   0,           0.0009415,           0.0009415,           0.0009415
                  67,             0.00988,           0.0019264,                   0,             0.99824,                   1,               0.995,              0.8589,            0.013052,           0.0040966,                   0,           0.0009406,           0.0009406,           0.0009406
                  68,            0.011855,           0.0019571,                   0,             0.99856,                   1,               0.995,             0.84912,            0.014028,           0.0040057,                   0,           0.0009397,           0.0009397,           0.0009397
                  69,             0.01122,           0.0019309,                   0,             0.99825,                   1,               0.995,             0.85196,            0.013188,           0.0044451,                   0,           0.0009388,           0.0009388,           0.0009388
                  70,             0.01054,           0.0020085,                   0,             0.99833,                   1,               0.995,             0.85503,             0.01368,           0.0047182,                   0,           0.0009379,           0.0009379,           0.0009379
