               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093936,            0.014312,                   0,            0.002766,             0.82979,           0.0059952,           0.0015477,            0.088511,            0.018106,                   0,            0.067371,          0.00032959,          0.00032959
                   1,            0.084198,            0.012098,                   0,           0.0033333,                   1,            0.024946,           0.0039779,            0.091968,            0.017216,                   0,             0.03437,          0.00066232,          0.00066232
                   2,            0.087882,            0.012028,                   0,           0.0026483,             0.70213,           0.0044521,           0.0019109,             0.11383,            0.016135,                   0,            0.001369,          0.00099446,          0.00099446
                   3,            0.071677,            0.012886,                   0,           0.0031985,             0.95745,            0.012089,           0.0050704,            0.072707,            0.018295,                   0,           0.0009973,           0.0009973,           0.0009973
                   4,            0.078127,            0.012511,                   0,           0.0033333,                   1,            0.011337,           0.0035616,             0.10748,            0.015879,                   0,           0.0009973,           0.0009973,           0.0009973
                   5,            0.071922,            0.012746,                   0,           0.0033333,                   1,           0.0099967,           0.0031465,            0.073702,            0.018754,                   0,           0.0009964,           0.0009964,           0.0009964
                   6,            0.067317,            0.013147,                   0,           0.0033419,                   1,            0.041989,            0.015766,            0.067264,            0.019134,                   0,           0.0009955,           0.0009955,           0.0009955
                   7,            0.063892,            0.013158,                   0,           0.0032624,             0.97872,            0.010586,           0.0029206,            0.069516,            0.018614,                   0,           0.0009946,           0.0009946,           0.0009946
                   8,            0.062773,            0.013129,                   0,           0.0033333,                   1,            0.020345,           0.0085286,            0.064082,            0.019424,                   0,           0.0009937,           0.0009937,           0.0009937
                   9,             0.06344,            0.012924,                   0,           0.0032624,             0.97872,            0.020981,           0.0063419,            0.064914,            0.019908,                   0,           0.0009928,           0.0009928,           0.0009928
                  10,             0.06138,            0.012983,                   0,           0.0033442,                   1,            0.026507,           0.0090671,            0.063087,            0.019483,                   0,           0.0009919,           0.0009919,           0.0009919
                  11,            0.060529,            0.012828,                   0,           0.0033404,                   1,            0.090228,            0.050881,            0.063703,            0.019189,                   0,            0.000991,            0.000991,            0.000991
                  12,            0.057397,            0.012806,                   0,           0.0034147,                   1,            0.021937,           0.0078966,            0.063612,            0.018528,                   0,           0.0009901,           0.0009901,           0.0009901
                  13,            0.059269,            0.012534,                   0,            0.003631,                   1,            0.024182,             0.01042,            0.061687,            0.018503,                   0,           0.0009892,           0.0009892,           0.0009892
                  14,            0.058254,            0.012422,                   0,           0.0035663,                   1,             0.10044,            0.038928,            0.058873,            0.018268,                   0,           0.0009883,           0.0009883,           0.0009883
                  15,             0.05648,            0.012119,                   0,           0.0037946,                   1,             0.24418,            0.093621,            0.056352,            0.017715,                   0,           0.0009874,           0.0009874,           0.0009874
                  16,            0.055385,            0.011872,                   0,            0.003783,                   1,             0.22489,            0.092675,            0.052869,            0.017492,                   0,           0.0009865,           0.0009865,           0.0009865
                  17,            0.053842,            0.011559,                   0,           0.0041645,                   1,             0.19806,              0.0848,            0.055395,            0.016483,                   0,           0.0009856,           0.0009856,           0.0009856
                  18,            0.056599,            0.010856,                   0,            0.004483,                   1,             0.32638,             0.17124,            0.054558,            0.016271,                   0,           0.0009847,           0.0009847,           0.0009847
                  19,            0.055234,            0.010703,                   0,            0.005406,                   1,             0.11114,            0.046033,            0.053809,            0.016806,                   0,           0.0009838,           0.0009838,           0.0009838
                  20,            0.054548,            0.010906,                   0,           0.0049851,                   1,             0.33206,             0.12604,            0.054636,            0.017531,                   0,           0.0009829,           0.0009829,           0.0009829
                  21,            0.052994,            0.011034,                   0,            0.087699,             0.97872,             0.54109,             0.31548,            0.053445,            0.015261,                   0,            0.000982,            0.000982,            0.000982
                  22,            0.050715,            0.010286,                   0,             0.22877,             0.46809,             0.47685,             0.25336,            0.052153,            0.015318,                   0,           0.0009811,           0.0009811,           0.0009811
                  23,             0.05272,           0.0097895,                   0,             0.49559,             0.40426,              0.5459,             0.25413,            0.051023,            0.014373,                   0,           0.0009802,           0.0009802,           0.0009802
                  24,            0.049552,           0.0091262,                   0,             0.40173,             0.42866,             0.46688,             0.20563,            0.049926,            0.012838,                   0,           0.0009793,           0.0009793,           0.0009793
                  25,             0.04698,           0.0085885,                   0,             0.66165,             0.66579,             0.74502,             0.37991,            0.048108,            0.012144,                   0,           0.0009784,           0.0009784,           0.0009784
                  26,            0.045445,           0.0075734,                   0,             0.76166,             0.87234,              0.8878,             0.55973,            0.045917,            0.011137,                   0,           0.0009775,           0.0009775,           0.0009775
                  27,            0.044513,           0.0070118,                   0,             0.82358,             0.79469,             0.87288,             0.55853,            0.045574,            0.010856,                   0,           0.0009766,           0.0009766,           0.0009766
                  28,            0.043948,           0.0071511,                   0,             0.81015,             0.70213,             0.82401,             0.53052,            0.045286,            0.012059,                   0,           0.0009757,           0.0009757,           0.0009757
                  29,            0.042697,           0.0065166,                   0,             0.93847,             0.97367,              0.9909,             0.66265,            0.042878,            0.010143,                   0,           0.0009748,           0.0009748,           0.0009748
                  30,            0.039505,           0.0062346,                   0,             0.88081,             0.95745,              0.9778,             0.70706,            0.040118,            0.010059,                   0,           0.0009739,           0.0009739,           0.0009739
                  31,            0.036976,           0.0062989,                   0,             0.97654,             0.88562,             0.98305,             0.67121,            0.038923,             0.01065,                   0,            0.000973,            0.000973,            0.000973
                  32,            0.038622,           0.0062246,                   0,             0.84191,             0.93617,              0.9468,             0.65682,            0.038419,            0.010996,                   0,           0.0009721,           0.0009721,           0.0009721
                  33,            0.036439,           0.0060915,                   0,             0.84896,             0.97872,             0.94493,             0.59606,            0.038688,            0.010139,                   0,           0.0009712,           0.0009712,           0.0009712
                  34,            0.033113,           0.0059199,                   0,             0.89978,             0.95511,             0.97268,             0.64292,            0.035903,           0.0088631,                   0,           0.0009703,           0.0009703,           0.0009703
                  35,            0.031966,           0.0061502,                   0,             0.95754,              0.9597,             0.98244,             0.63689,            0.033967,           0.0093803,                   0,           0.0009694,           0.0009694,           0.0009694
                  36,            0.032998,           0.0063859,                   0,             0.88047,             0.94042,             0.98349,             0.65738,            0.033343,            0.010111,                   0,           0.0009685,           0.0009685,           0.0009685
                  37,            0.031024,           0.0062371,                   0,             0.90253,             0.98512,             0.98435,             0.69704,            0.033267,           0.0097297,                   0,           0.0009676,           0.0009676,           0.0009676
                  38,            0.030056,           0.0060023,                   0,              0.9333,             0.89315,             0.97013,             0.64472,            0.032949,            0.010986,                   0,           0.0009667,           0.0009667,           0.0009667
                  39,            0.029126,           0.0060117,                   0,             0.89974,             0.91489,             0.97646,             0.73092,            0.032127,            0.010643,                   0,           0.0009658,           0.0009658,           0.0009658
                  40,            0.030732,           0.0060902,                   0,             0.99913,             0.93617,             0.98474,             0.72589,            0.031369,           0.0089947,                   0,           0.0009649,           0.0009649,           0.0009649
                  41,            0.031223,           0.0058303,                   0,             0.89912,             0.94827,             0.97424,             0.68834,            0.034124,            0.010416,                   0,            0.000964,            0.000964,            0.000964
                  42,            0.029308,           0.0060327,                   0,             0.94522,             0.95745,             0.98967,             0.71165,            0.033033,           0.0089165,                   0,           0.0009631,           0.0009631,           0.0009631
                  43,             0.02804,            0.005487,                   0,             0.93552,             0.97872,             0.98635,             0.71956,            0.031103,           0.0084239,                   0,           0.0009622,           0.0009622,           0.0009622
                  44,            0.026653,           0.0055008,                   0,              0.9296,                   1,              0.9844,             0.72479,              0.0319,           0.0081882,                   0,           0.0009613,           0.0009613,           0.0009613
                  45,            0.031033,           0.0053549,                   0,             0.97725,                   1,             0.99333,             0.76752,            0.032604,           0.0086378,                   0,           0.0009604,           0.0009604,           0.0009604
                  46,            0.029327,           0.0055536,                   0,             0.98022,             0.97872,             0.99458,             0.71668,            0.031972,           0.0095634,                   0,           0.0009595,           0.0009595,           0.0009595
                  47,            0.026884,           0.0053669,                   0,             0.92972,             0.97872,             0.98469,             0.74274,            0.030623,           0.0084848,                   0,           0.0009586,           0.0009586,           0.0009586
                  48,            0.025589,           0.0052586,                   0,             0.93943,             0.99018,             0.98494,              0.7123,             0.03104,           0.0082851,                   0,           0.0009577,           0.0009577,           0.0009577
                  49,            0.026421,           0.0051293,                   0,             0.94641,                   1,             0.98708,             0.74637,            0.030008,           0.0077183,                   0,           0.0009568,           0.0009568,           0.0009568
                  50,            0.027332,           0.0047884,                   0,             0.97888,             0.98629,             0.99458,             0.74092,            0.031165,           0.0076772,                   0,           0.0009559,           0.0009559,           0.0009559
                  51,            0.023569,           0.0050057,                   0,             0.93551,                   1,             0.98605,             0.77978,            0.029203,           0.0078165,                   0,            0.000955,            0.000955,            0.000955
                  52,            0.022743,           0.0050424,                   0,             0.96985,                   1,             0.99417,              0.7051,            0.030142,            0.008211,                   0,           0.0009541,           0.0009541,           0.0009541
                  53,            0.022996,           0.0051209,                   0,             0.97944,             0.95745,             0.99417,             0.77244,            0.028571,           0.0082296,                   0,           0.0009532,           0.0009532,           0.0009532
                  54,            0.023354,           0.0049696,                   0,             0.93015,                   1,             0.98807,             0.77867,            0.028857,           0.0074549,                   0,           0.0009523,           0.0009523,           0.0009523
                  55,            0.024237,           0.0046946,                   0,              0.9788,             0.98253,             0.99458,             0.81948,            0.027923,           0.0073614,                   0,           0.0009514,           0.0009514,           0.0009514
                  56,            0.023878,           0.0045584,                   0,               0.959,             0.97872,             0.99343,             0.76123,            0.030087,           0.0071127,                   0,           0.0009505,           0.0009505,           0.0009505
                  57,            0.023497,           0.0046233,                   0,             0.90123,                   1,             0.98985,             0.76798,            0.030993,           0.0072437,                   0,           0.0009496,           0.0009496,           0.0009496
                  58,               0.023,           0.0044075,                   0,             0.99496,             0.97872,             0.99458,             0.78066,            0.027634,           0.0069607,                   0,           0.0009487,           0.0009487,           0.0009487
                  59,            0.024052,           0.0042387,                   0,             0.99052,                   1,               0.995,             0.77632,            0.029938,           0.0066892,                   0,           0.0009478,           0.0009478,           0.0009478
                  60,            0.022616,           0.0042349,                   0,             0.95667,                   1,               0.995,             0.78621,            0.028486,           0.0075172,                   0,           0.0009469,           0.0009469,           0.0009469
                  61,            0.020226,           0.0043897,                   0,             0.98674,                   1,               0.995,             0.80245,            0.027289,           0.0069336,                   0,            0.000946,            0.000946,            0.000946
                  62,            0.019691,           0.0043577,                   0,             0.95896,             0.99436,             0.99077,             0.79208,            0.027167,           0.0071366,                   0,           0.0009451,           0.0009451,           0.0009451
                  63,            0.019433,           0.0041098,                   0,             0.95531,                   1,             0.99291,             0.81649,            0.026104,           0.0065539,                   0,           0.0009442,           0.0009442,           0.0009442
                  64,            0.020386,            0.003924,                   0,             0.98008,                   1,               0.995,             0.82691,             0.02643,           0.0064484,                   0,           0.0009433,           0.0009433,           0.0009433
                  65,            0.019441,           0.0037774,                   0,             0.98788,                   1,               0.995,             0.79509,            0.027228,           0.0061193,                   0,           0.0009424,           0.0009424,           0.0009424
                  66,             0.01844,           0.0036346,                   0,             0.99368,                   1,               0.995,             0.83167,            0.026099,           0.0061039,                   0,           0.0009415,           0.0009415,           0.0009415
                  67,            0.018468,           0.0035889,                   0,             0.99144,                   1,               0.995,             0.81884,            0.026488,           0.0060256,                   0,           0.0009406,           0.0009406,           0.0009406
                  68,             0.02467,           0.0035901,                   0,             0.99541,                   1,               0.995,             0.80832,            0.029088,           0.0061223,                   0,           0.0009397,           0.0009397,           0.0009397
                  69,            0.021115,           0.0034701,                   0,             0.97434,                   1,               0.995,               0.812,            0.026648,           0.0063163,                   0,           0.0009388,           0.0009388,           0.0009388
                  70,            0.019476,           0.0033756,                   0,             0.98947,                   1,               0.995,             0.83757,             0.02635,           0.0057761,                   0,           0.0009379,           0.0009379,           0.0009379
                  71,            0.018849,           0.0033498,                   0,             0.97323,                   1,               0.995,             0.85222,            0.025337,           0.0061114,                   0,            0.000937,            0.000937,            0.000937
                  72,            0.018012,           0.0032928,                   0,              0.9879,                   1,               0.995,             0.83566,             0.02578,           0.0056719,                   0,           0.0009361,           0.0009361,           0.0009361
                  73,            0.018056,           0.0030974,                   0,             0.98467,                   1,               0.995,              0.8316,            0.026016,           0.0055726,                   0,           0.0009352,           0.0009352,           0.0009352
                  74,            0.017853,           0.0030104,                   0,             0.99488,                   1,               0.995,             0.84747,            0.025989,           0.0052573,                   0,           0.0009343,           0.0009343,           0.0009343
                  75,            0.017972,           0.0029077,                   0,             0.99416,                   1,               0.995,             0.85704,            0.024569,           0.0055066,                   0,           0.0009334,           0.0009334,           0.0009334
                  76,             0.01677,           0.0029232,                   0,             0.99552,                   1,               0.995,             0.86615,            0.025696,           0.0052341,                   0,           0.0009325,           0.0009325,           0.0009325
                  77,            0.019013,           0.0029853,                   0,             0.99503,                   1,               0.995,             0.85228,            0.025477,           0.0058168,                   0,           0.0009316,           0.0009316,           0.0009316
                  78,            0.019594,           0.0030202,                   0,             0.99652,                   1,               0.995,             0.83478,            0.024865,           0.0053987,                   0,           0.0009307,           0.0009307,           0.0009307
                  79,            0.018483,           0.0029238,                   0,             0.99331,                   1,               0.995,             0.84488,            0.026539,           0.0057795,                   0,           0.0009298,           0.0009298,           0.0009298
                  80,            0.017945,           0.0028562,                   0,             0.99734,                   1,               0.995,             0.85849,            0.027341,           0.0048806,                   0,           0.0009289,           0.0009289,           0.0009289
                  81,            0.018315,           0.0027392,                   0,             0.99765,                   1,               0.995,             0.88343,            0.025115,           0.0050567,                   0,            0.000928,            0.000928,            0.000928
                  82,            0.021115,           0.0028087,                   0,             0.99717,                   1,               0.995,             0.85149,            0.026808,           0.0051867,                   0,           0.0009271,           0.0009271,           0.0009271
                  83,            0.018821,           0.0027419,                   0,             0.99736,                   1,               0.995,             0.84471,            0.023441,           0.0050095,                   0,           0.0009262,           0.0009262,           0.0009262
                  84,            0.016709,           0.0027445,                   0,             0.99671,                   1,               0.995,             0.86814,             0.02427,           0.0050558,                   0,           0.0009253,           0.0009253,           0.0009253
                  85,            0.016846,           0.0025805,                   0,             0.99755,                   1,               0.995,             0.87613,            0.023889,           0.0049024,                   0,           0.0009244,           0.0009244,           0.0009244
                  86,            0.015998,            0.002524,                   0,             0.99746,                   1,               0.995,             0.86587,            0.022965,           0.0045833,                   0,           0.0009235,           0.0009235,           0.0009235
                  87,            0.015844,           0.0025157,                   0,             0.99663,                   1,               0.995,             0.87636,            0.022202,           0.0048254,                   0,           0.0009226,           0.0009226,           0.0009226
